Date,unemployment,tourists,gdp,confidence
1/1/23,5.290541914,549816,1.408679,115.3190863
2/1/23,5.14380767,561622,1.408679,113.4954356
3/1/23,4.789755026,696325,1.408679,114.0318035
4/1/23,4.388350709,867699,2.443518,113.7099828
5/1/23,4.117193147,941760,2.443518,113.7099828
6/1/23,3.968829323,978368,2.443518,111.3499642
7/1/23,4.068822587,1096690,0.49272,110.8135964
8/1/23,3.978566914,1112965,0.49272,113.1736149
9/1/23,3.801671254,957834,0.49272,114.5681713
10/1/23,3.601064481,926941,0.635931,114.0318035
11/1/23,3.5,684699,0.635931,115.640907
12/1/23,3.770298267,785749,0.635931,115.3190863
1/1/24,3.893924754,596166,0.492686,117.7863784
2/1/24,3.745473817,622431,0.492686,117.4645577
3/1/24,3.495404436,798028,0.492686,118.3227462
4/1/24,3.198483087,856073,0.588938,118.0009255
5/1/24,3.012821938,988443,0.588938,119.3954819
6/1/24,2.94067388,974251,0.588938,118.5372933
7/1/24,3.064897097,1133027,0.630808,117.2500105
8/1/24,3.052443337,1154962,0.630808,115.640907
9/1/24,2.960734112,979590,0.630808,116.391822
10/1/24,2.826107068,946003,0.892343,117.4645577
11/1/24,2.814955373,737491,0.892343,112.1008792
12/1/24,3.070692139,824929,0.892343,114.5681713
1/1/25,3.255796728,606267,0.585351,114.5681713
2/1/25,3.19693436,640252,0.585351,111.5645114
3/1/25,2.990711439,760098,0.585351,109.7408607
4/1/25,2.748938698,903727,0.496594,108.8826722
5/1/25,2.623005365,1005902,0.496594,110.2772286
6/1/25,2.567243623,1037511,0.496594,110.2772286
7/1/25,2.718921135,1164928,0.375784,111.5645114
8/1/25,2.722128487,1192978,0.375784,110.2772286
9/1/25,2.670918058,973314,0.375784,108.3463043
10/1/25,2.58787509,987045,0.330304,108.668125
11/1/25,2.59184798,756016,0.330304,106.9517479
12/1/25,2.868371298,862462,0.330304,109.9554078
